Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2014,12,15,07:00,UTC,,45,,,11.1,,
2014,12,15,08:00,UTC,,36,,,11,,
2014,12,15,09:00,UTC,,29,,,8.7,,
2014,12,15,10:00,UTC,,31,,,11.8,,
2014,12,15,11:00,UTC,,25,,,8.5,,
2014,12,15,12:00,UTC,,23,,,6.8,,
2014,12,15,13:00,UTC,,26,,,8.4,,
2014,12,15,14:00,UTC,,29,,,10.4,,
2014,12,15,15:00,UTC,,27,,,9.7,,
2014,12,15,16:00,UTC,,25,,,9.1,,
2014,12,15,17:00,UTC,,23,,,8.4,,
2014,12,15,18:00,UTC,,21,,,8.2,,
2014,12,15,19:00,UTC,,14,,,7.8,,
2014,12,15,20:00,UTC,,13,,,8,,
2014,12,15,21:00,UTC,,10,,,6.4,,
2014,12,15,22:00,UTC,,7,,,7.1,,
2014,12,15,23:00,UTC,,6,,,7.2,,
2014,12,16,00:00,UTC,,9,,,6.9,,
2014,12,16,01:00,UTC,,15,,,6.1,,
2014,12,16,02:00,UTC,,20,,,4.2,,
2014,12,16,03:00,UTC,,22,,,5.1,,
2014,12,16,04:00,UTC,,33,,,4.7,,
2014,12,16,05:00,UTC,,26,,,5.9,,
2014,12,16,06:00,UTC,,21,,,6.4,,
2014,12,16,07:00,UTC,,19,,,7.5,,
2014,12,16,08:00,UTC,,12,,,7.7,,
2014,12,16,09:00,UTC,,19,,,7.5,,
2014,12,16,10:00,UTC,,17,,,6.6,,
2014,12,16,11:00,UTC,,20,,,6.7,,
2014,12,16,12:00,UTC,,18,,,5.9,,
2014,12,16,13:00,UTC,,23,,,6.2,,
2014,12,16,14:00,UTC,,47,,,8.4,,
2014,12,16,15:00,UTC,,59,,,11.3,,
2014,12,16,16:00,UTC,,55,,,10.4,,
2014,12,16,17:00,UTC,,47,,,8.2,,
2014,12,16,18:00,UTC,,37,,,13.4,,
2014,12,16,19:00,UTC,,33,,,8.1,,
2014,12,16,20:00,UTC,,21,,,8,,
2014,12,16,21:00,UTC,,15,,,6.1,,
2014,12,16,22:00,UTC,,9,,,6.1,,
2014,12,16,23:00,UTC,,9,,,6.4,,
2014,12,17,00:00,UTC,,10,,,5.4,,
2014,12,17,01:00,UTC,,14,,,3.7,,
2014,12,17,02:00,UTC,,10,,,3.5,,
2014,12,17,03:00,UTC,,14,,,2.7,,
2014,12,17,04:00,UTC,,33,,,2.7,,
2014,12,17,05:00,UTC,,41,,,3.9,,
2014,12,17,06:00,UTC,,54,,,9.6,,
2014,12,17,07:00,UTC,,20,,,4.4,,
2014,12,17,08:00,UTC,,28,,,4.4,,
2014,12,17,09:00,UTC,,28,,,5.2,,
2014,12,17,10:00,UTC,,28,,,4.9,,
2014,12,17,11:00,UTC,,28,,,6.5,,
2014,12,17,12:00,UTC,,28,,,6.6,,
2014,12,17,13:00,UTC,,27,,,6,,
2014,12,17,14:00,UTC,,35,,,7.1,,
2014,12,17,15:00,UTC,,39,,,7.4,,
2014,12,17,16:00,UTC,,33,,,7.7,,
2014,12,17,17:00,UTC,,25,,,7.3,,
2014,12,17,18:00,UTC,,21,,,6.6,,
2014,12,17,19:00,UTC,,15,,,7.5,,
2014,12,17,20:00,UTC,,14,,,8.7,,
2014,12,17,21:00,UTC,,12,,,8,,
2014,12,17,22:00,UTC,,13,,,7.6,,
2014,12,17,23:00,UTC,,7,,,6,,
2014,12,18,00:00,UTC,,6,,,6.2,,
2014,12,18,01:00,UTC,,7,,,5.9,,
2014,12,18,02:00,UTC,,5,,,5.8,,
2014,12,18,03:00,UTC,,5,,,6.1,,
2014,12,18,04:00,UTC,,21,,,5.6,,
2014,12,18,05:00,UTC,,18,,,5,,
2014,12,18,06:00,UTC,,18,,,5.2,,
2014,12,18,07:00,UTC,,22,,,5.6,,
2014,12,18,08:00,UTC,,28,,,6.5,,
2014,12,18,09:00,UTC,,31,,,5.4,,
2014,12,18,10:00,UTC,,30,,,5.5,,
2014,12,18,11:00,UTC,,36,,,6.2,,
2014,12,18,12:00,UTC,,49,,,9.3,,
2014,12,18,13:00,UTC,,54,,,9.8,,
2014,12,18,14:00,UTC,,53,,,8.3,,
2014,12,18,15:00,UTC,,68,,,9.2,,
2014,12,18,16:00,UTC,,44,,,4.8,,
2014,12,18,17:00,UTC,,37,,,5,,
2014,12,18,18:00,UTC,,40,,,7.3,,
2014,12,18,19:00,UTC,,40,,,6.2,,
2014,12,18,20:00,UTC,,34,,,11.7,,
2014,12,18,21:00,UTC,,35,,,10.5,,
2014,12,18,22:00,UTC,,25,,,8.3,,
2014,12,18,23:00,UTC,,28,,,6.6,,
2014,12,19,00:00,UTC,,23,,,7.2,,
2014,12,19,01:00,UTC,,16,,,3.6,,
2014,12,19,02:00,UTC,,19,,,2.9,,
2014,12,19,03:00,UTC,,19,,,3.1,,
